,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Port Elizabeth,60,ZA,1586656806,52,-33.92,25.57,66.2,2.6
1,Jamestown,1,US,1586657078,48,42.1,-79.24,42.01,2.1
2,Shelburne,1,CA,1586657009,80,44.08,-80.2,44.6,1.0
3,Vaini,20,TO,1586657079,65,-21.2,-175.2,80.6,3.1
4,Khatanga,100,RU,1586657079,97,71.97,102.5,17.96,5.25
5,Rikitea,91,PF,1586656876,77,-23.12,-134.97,78.55,3.22
6,Haines Junction,0,CA,1586657080,72,60.75,-137.51,30.22,1.19
7,Korbous,20,TN,1586656946,87,36.82,10.57,53.6,0.96
8,Busselton,75,AU,1586657080,51,-33.65,115.33,75.99,4.46
9,Dinguiraye,97,GN,1586657081,57,11.3,-10.72,76.91,0.86
10,Butaritari,98,KI,1586657081,75,3.07,172.79,83.01,4.49
11,Qaanaaq,100,GL,1586657081,72,77.48,-69.36,12.18,2.32
12,Cabo San Lucas,40,MX,1586656803,60,22.89,-109.91,70.0,6.7
13,Puerto Ayora,53,EC,1586656862,89,-0.74,-90.35,79.0,0.89
14,Hobart,75,AU,1586657082,54,-42.88,147.33,60.01,5.1
15,Verkhnevilyuysk,99,RU,1586657082,83,63.45,120.32,34.45,4.78
16,Albany,1,US,1586656823,38,42.6,-73.97,42.8,3.6
17,Sioux Lookout,75,CA,1586657082,93,50.1,-91.92,32.0,6.2
18,Cape Town,75,ZA,1586656971,93,-33.93,18.42,64.99,9.3
19,Batemans Bay,0,AU,1586657083,38,-35.72,150.18,71.01,2.61
20,Norman Wells,20,CA,1586657083,50,65.28,-126.83,28.4,2.1
21,Hilo,40,US,1586656943,65,19.73,-155.09,82.4,1.41
22,Lompoc,90,US,1586656846,76,34.64,-120.46,66.99,4.6
23,Mar del Plata,100,AR,1586657084,82,-38.0,-57.56,62.01,2.1
24,Mazagão,75,BR,1586657084,100,-0.12,-51.29,80.6,3.1
25,Fonte Boa,100,BR,1586657084,96,-2.5,-66.27,72.91,2.22
26,Douentza,0,ML,1586657084,30,15.0,-2.95,84.34,3.53
27,Avarua,100,CK,1586656984,83,-21.21,-159.78,84.2,3.1
28,Ushuaia,40,AR,1586657085,75,-54.8,-68.3,41.0,9.3
29,Hermanus,100,ZA,1586657085,95,-34.42,19.23,62.01,4.92
30,Asău,14,RO,1586657085,74,46.43,26.4,37.99,1.0
31,Springdale,40,US,1586656920,67,36.19,-94.13,61.0,3.6
32,Edd,78,ER,1586657086,72,13.93,41.69,79.18,3.54
33,Port Lincoln,100,AU,1586657086,57,-34.73,135.87,59.67,3.41
34,Yerbogachën,0,RU,1586657086,73,61.28,108.01,35.64,3.46
35,Noumea,43,NC,1586657086,43,-22.28,166.46,89.6,4.1
36,Ust-Kuyga,84,RU,1586657087,91,70.02,135.6,22.1,10.22
37,Sitka,20,US,1586657087,49,57.05,-135.33,46.4,2.1
38,Barrow,90,US,1586657087,86,71.29,-156.79,26.6,8.2
39,Hithadhoo,15,MV,1586656994,67,-0.6,73.08,84.51,3.53
40,Złocieniec,38,PL,1586657088,66,53.53,16.01,39.0,0.89
41,Bathsheba,75,BB,1586657088,69,13.22,-59.52,80.6,7.2
42,Payo,92,ID,1586657088,65,-3.75,103.64,86.32,1.16
43,Boende,96,CD,1586657088,88,-0.22,20.87,72.19,1.7
44,Sangmélima,100,CM,1586657089,69,2.93,11.98,66.51,0.71
45,Ponta do Sol,20,PT,1586657089,63,32.67,-17.1,62.6,6.7
46,Ust-Nera,100,RU,1586657089,86,64.57,143.2,26.82,3.15
47,Sinnamary,100,GF,1586657090,79,5.38,-52.95,78.96,5.84
48,San Quintín,20,MX,1586657090,81,30.48,-115.95,59.65,6.77
49,Inhambane,0,MZ,1586657090,91,-23.86,35.38,69.26,2.44
50,Clarence Town,2,AU,1586657090,37,-32.58,151.78,71.01,4.1
51,Laas,5,IT,1586657090,80,46.62,10.7,51.01,2.6
52,Sola,95,VU,1586657091,72,-13.88,167.55,81.48,5.31
53,Araxá,1,BR,1586657023,60,-19.59,-46.94,68.0,2.6
54,Iqaluit,90,CA,1586657063,79,63.75,-68.51,23.0,5.1
55,Bitung,40,ID,1586657092,58,1.45,125.18,87.8,3.6
56,Punta Arenas,75,CL,1586656860,81,-53.15,-70.92,42.8,4.6
57,Būlaevo,94,KZ,1586657092,61,54.91,70.44,45.63,4.62
58,Bemidji,1,US,1586656843,63,47.47,-94.88,34.0,4.6
59,Tasiilaq,99,GL,1586657092,62,65.61,-37.64,24.8,3.6
60,Ankazoabo,100,MG,1586657093,64,-22.28,44.52,69.24,1.16
61,Mavrovi Anovi,23,MK,1586657093,51,41.7,20.76,40.68,0.79
62,Nkowakowa,0,ZA,1586657093,72,-23.89,30.29,60.8,2.1
63,Lavrentiya,97,RU,1586657093,96,65.58,-171.0,32.4,4.42
64,Jinchang,77,CN,1586657093,17,38.5,102.17,51.28,4.74
65,Buluang,31,PH,1586657094,65,13.31,123.34,85.35,1.86
66,Grand-Lahou,72,CI,1586657094,83,5.14,-5.02,80.47,3.28
67,San Patricio,40,MX,1586657094,74,19.22,-104.7,82.4,5.29
68,Waipawa,58,NZ,1586657094,72,-41.41,175.52,64.99,12.3
69,Tabou,24,CI,1586657094,85,4.42,-7.35,78.3,0.83
70,Bonavista,45,CA,1586657095,87,48.65,-53.11,33.01,4.92
71,Muisne,100,EC,1586657095,86,0.6,-80.03,77.0,0.67
72,Safonovo,34,RU,1586657095,88,55.15,33.22,30.25,2.53
73,Aklavik,5,CA,1586657095,49,68.22,-135.01,23.0,3.1
74,Bredasdorp,100,ZA,1586656871,68,-34.53,20.04,66.2,6.2
75,Dikson,100,RU,1586657096,96,73.51,80.55,14.99,4.45
76,Atuona,44,PF,1586657067,65,-9.8,-139.03,82.96,2.42
77,Lebu,0,CL,1586657032,74,-37.62,-73.65,51.85,6.04
78,Guangzhou,20,CN,1586657096,48,23.12,113.25,69.01,8.0
79,Saldanha,100,ZA,1586657097,93,-33.01,17.94,60.8,7.7
80,Ningyang,0,CN,1586657097,27,35.76,116.79,64.6,7.01
81,Cherskiy,80,RU,1586657097,96,68.75,161.3,23.36,7.14
82,Lagoa,0,PT,1586657097,78,39.05,-27.98,60.85,4.56
83,Kaitangata,86,NZ,1586656941,76,-46.28,169.85,60.01,6.46
84,New Norfolk,75,AU,1586657098,54,-42.78,147.06,60.01,5.1
85,Saint George,1,US,1586656817,32,37.1,-113.58,66.2,6.2
86,Faya,65,SA,1586657098,82,18.39,42.45,62.6,1.21
87,Buraidah,0,SA,1586657099,45,26.33,43.98,64.4,6.2
88,Kapit,27,MY,1586657099,55,2.02,112.93,89.73,1.33
89,Padang,48,ID,1586656800,61,-0.95,100.35,87.93,0.55
90,Hamilton,20,US,1586657099,43,39.18,-84.53,55.99,2.1
91,Hirara,75,JP,1586657099,72,24.8,125.28,66.2,7.7
92,Half Moon Bay,90,US,1586657100,87,37.46,-122.43,61.0,2.6
93,Taixing,0,CN,1586657100,50,32.17,120.01,63.0,0.45
94,Pevek,6,RU,1586657101,92,69.7,170.31,11.39,6.21
